timestamp,merchant_name,merchant_category,amount,is_recurring,user_balance_pre,label_category,label_urgency
2025-11-24 03:01:47,HDFC Bank,Financial,1575.6,True,15150.49,Red,Critical
2025-10-07 02:37:27,Spotify,Subscriptions,220.27,False,14030.28,Yellow,Discretionary
2025-10-15 06:45:41,HP Petrol Pump,Fuel,481.92,False,18039.5,Orange,Necessary
2025-03-23 22:27:21,HDFC Bank,Financial,1546.32,True,6533.15,Red,Critical
2025-07-14 03:22:54,Bus Service,Commuting,307.2,False,11891.37,Orange,Necessary
2025-03-05 12:05:35,HDFC Ergo,Insurance,3520.86,True,13660.28,Red,Critical
2025-12-27 02:02:42,Water Supply,Utilities,5284.09,True,17997.26,Red,Critical
2025-07-14 08:29:40,Metro,Commuting,407.99,False,9004.67,Orange,Necessary
2025-12-16 20:04:38,Stationery Hub,Miscellaneous,1372.72,False,10691.83,Yellow,Discretionary
2025-11-24 22:35:14,Housing Loan Bank,Mortgage,1387.48,False,9731.8,Red,Critical
2025-05-18 02:13:58,Housing Loan Bank,Mortgage,3377.47,True,18718.21,Red,Critical
2025-08-23 04:16:08,Gas Company,Utilities,2882.56,False,13768.79,Red,Critical
2025-10-26 12:23:14,Indigo,Travel,206.68,False,6644.74,Yellow,Discretionary
2025-11-18 05:50:43,Bharat Petroleum,Fuel,153.45,False,19941.82,Orange,Necessary
2025-09-28 08:35:55,Netflix,Entertainment,1389.54,False,9002.38,Yellow,Discretionary
2025-11-25 10:07:18,HP Petrol Pump,Fuel,554.49,False,18137.79,Orange,Necessary
2025-05-15 16:48:11,Myntra,Shopping,1693.85,False,7983.67,Yellow,Discretionary
2025-07-11 05:34:49,Hotstar,Entertainment,924.94,False,10444.71,Yellow,Discretionary
2025-06-07 07:03:15,Zomato,Dining,1570.59,False,19669.77,Yellow,Discretionary
2025-09-30 04:08:42,Coursera,Education,249.99,True,14098.91,Orange,Necessary
2025-04-19 17:48:46,Beardo,Personal_Care,856.46,False,10601.31,Yellow,Discretionary
2025-09-22 14:07:15,Electricity Board,Utilities,2057.09,True,8451.72,Red,Critical
2025-04-23 00:04:45,Spotify,Subscriptions,164.43,True,9956.43,Yellow,Discretionary
2025-09-21 07:17:42,BYJU,Education,611.46,True,18235.75,Orange,Necessary
2025-10-23 15:15:50,Khan Academy,Education,249.49,True,11465.77,Orange,Necessary
2025-08-05 13:29:55,Medium,Subscriptions,1362.96,False,5909.19,Yellow,Discretionary
2025-06-23 03:15:12,Lakme,Personal_Care,302.89,False,11939.42,Yellow,Discretionary
2025-02-08 14:51:55,Amazon,Shopping,1332.41,False,5221.37,Yellow,Discretionary
2025-02-17 07:10:26,Khan Academy,Education,286.58,True,5879.53,Orange,Necessary
2025-07-14 00:24:16,DMart,Groceries,524.68,True,19931.34,Orange,Necessary
2025-10-12 21:45:31,Uber,Travel,687.5,False,13687.7,Yellow,Discretionary
2025-10-05 01:47:20,Spotify,Subscriptions,1189.83,True,17790.8,Yellow,Discretionary
2025-03-22 01:32:05,Bookstore,Miscellaneous,1252.73,True,8528.06,Yellow,Discretionary
2025-03-03 18:15:37,Medium,Subscriptions,216.48,False,13478.4,Yellow,Discretionary
2025-06-11 08:13:42,Housing Loan Bank,Mortgage,1570.12,False,14682.51,Red,Critical
2025-08-23 10:59:48,Zomato,Dining,1037.73,False,19941.45,Yellow,Discretionary
2025-02-07 17:13:32,HDFC Bank,Financial,5057.66,True,18189.05,Red,Critical
2025-07-09 09:10:28,HDFC Ergo,Insurance,5229.98,True,12934.11,Red,Critical
2025-12-08 17:19:59,Flipkart,Shopping,609.8,False,16136.25,Yellow,Discretionary
2025-03-21 08:18:38,Beardo,Personal_Care,459.01,False,8959.76,Yellow,Discretionary
2025-09-08 08:57:58,Spotify,Subscriptions,1371.61,True,5661.3,Yellow,Discretionary
2025-06-20 04:40:16,Stationery Hub,Miscellaneous,949.08,False,13413.6,Yellow,Discretionary
